conversietabellen van types IRtc									
T[degC]	K-98.6	K-50	K-80	K-140	K-180	K-240	K-280	K-340	K-440
337.7777778	44.53143576	52.89493399	47.73901935	36.58187079	32.54104222	29.14360486	24.45512582	21.75964357	18.31653898
340.5555556	45.21282054	53.70724069	48.47061554	37.13881337	33.0347298	29.58410908	24.82223675	22.08455951	18.58755668
343.3333333	45.89887131	54.52510989	49.20722155	37.69956977	33.53179806	30.02762978	25.19186158	22.41170042	18.86043027
346.1111111	46.58956178	55.34851028	49.94880916	38.26411852	34.03222795	30.47414997	25.56398615	22.74105375	19.13514927
348.8888889	47.28486545	56.17741024	50.69534992	38.83243795	34.53600026	30.92365253	25.93859619	23.07260687	19.41170315
351.6666667	47.98475563	57.01177797	51.44681516	39.40450625	35.04309565	31.37612018	26.3156773	23.40634704	19.69008129
354.4444444	48.6892054	57.85158138	52.203176	39.98030142	35.55349465	31.83153554	26.695215	23.74226145	19.97027299
357.2222222	49.39818771	58.69678821	52.96440337	40.55980134	36.06717762	32.2898811	27.07719469	24.08033717	20.25226749
360	50.11167528	59.54736595	53.73046801	41.14298373	36.58412482	32.75113925	27.4616017	24.42056122	20.53605393
362.7777778	50.8296407	60.40328191	54.50134046	41.72982617	37.10431637	33.21529226	27.84842125	24.76292051	20.82162142
365.5555556	51.55205637	61.26450321	55.27699111	42.3203061	37.6277323	33.68232228	28.23763847	25.1074019	21.10895898
368.3333333	52.27889455	62.13099676	56.05739017	42.91440086	38.15435249	34.15221138	28.62923841	25.45399213	21.39805557
371.1111111	53.01012735	63.00272931	56.84250768	43.51208763	38.68415674	34.62494153	29.02320604	25.80267793	21.68890009
373.8888889	53.74572674	63.87966745	57.63231356	44.11334352	39.21712474	35.10049461	29.41952628	26.15344592	21.98148141
376.6666667	54.48566455	64.7617776	58.42677755	44.7181455	39.75323607	35.57885241	29.81818393	26.50628267	22.27578832
379.4444444	55.22991248	65.64902602	59.22586928	45.32647044	40.29247025	36.05999663	30.21916375	26.86117469	22.57180956
382.2222222	55.97844213	66.54137886	60.02955826	45.93829512	40.83480668	36.54390892	30.62245044	27.21810843	22.86953383
385	56.73122497	67.4388021	60.83781384	46.55359623	41.3802247	37.03057082	31.02802863	27.57707028	23.16894979
387.7777778	57.48823236	68.3412616	61.65060528	47.17235036	41.92870357	37.51996383	31.4358829	27.93804661	23.47004605
390.5555556	58.24943559	69.24872312	62.46790175	47.79453402	42.48022246	38.01206938	31.84599776	28.3010237	23.77281118
393.3333333	59.01480581	70.1611523	63.28967228	48.42012366	43.03476049	38.50686882	32.25835768	28.6659878	24.07723371
396.1111111	59.78431412	71.07851466	64.11588583	49.04909564	43.59229671	39.00434347	32.67294708	29.03292515	24.38330215
398.8888889	60.55793153	72.00077563	64.94651128	49.68142627	44.15281012	39.50447458	33.08975035	29.40182189	24.69100497
401.6666667	61.33562896	72.92790057	65.78151742	50.31709178	44.71627965	40.00724336	33.50875182	29.77266419	25.00033059
404.4444444	62.11737728	73.85985474	66.62087295	50.95606836	45.28268419	40.51263098	33.9299358	30.14543813	25.31126744
407.2222222	62.90314727	74.79660332	67.46454652	51.59833213	45.85200258	41.02061854	34.35328654	30.5201298	25.62380389
410	63.69290969	75.73811143	68.31250671	52.24385919	46.42421363	41.53118714	34.77878829	30.89672524	25.93792831
